"Withdrawal Settings","Widerrufs-Einstellungen"
"General Settings","Allgemeine Einstellungen"
"Enable Module","Modul aktivieren"
"Notification Email","Benachrichtigungs-E-Mail"
"Withdrawal Period (Days)","Widerrufsfrist (Tage)"
"Email Settings","E-Mail-Einstellungen"
"Email Sender","E-Mail-Absender"
"Customer Confirmation Email Template","Kunden-Bestaetigungs-E-Mail-Vorlage"
"Admin Notification Email Template","Admin-Benachrichtigungs-E-Mail-Vorlage"
"Withdrawal Requests","Widerrufsanfragen"
"Withdrawals","Widerrufe"
"Withdrawal","Widerruf"
"Withdraw","Widerrufen"
"Withdraw Order","Bestellung widerrufen"
"Submit Withdrawal","Widerruf absenden"
"Withdrawal submitted","Widerruf eingereicht"
"Period expired","Frist abgelaufen"
"Withdrawal for Order #%1","Widerruf fuer Bestellung #%1"
"Withdrawal Successfully Submitted","Widerruf erfolgreich eingereicht"
"Your withdrawal request for order #%1 has been received.","Ihr Widerruf fuer die Bestellung #%1 wurde empfangen."
"You will receive a confirmation email shortly.","Sie erhalten in Kuerze eine Bestaetigungs-E-Mail."
"The shop will contact you regarding the next steps (e.g. return of goods, refund).","Der Shop wird Sie bezueglich der naechsten Schritte kontaktieren (z.B. Ruecksendung der Ware, Rueckerstattung)."
"Back to My Orders","Zurueck zu meinen Bestellungen"
"Continue Shopping","Weiter einkaufen"
"Search Order for Withdrawal","Bestellung fuer Widerruf suchen"
"Please enter your order number and the email address used for the order to find your order.","Bitte geben Sie Ihre Bestellnummer und die E-Mail-Adresse ein, die fuer die Bestellung verwendet wurde."
"Order Number","Bestellnummer"
"Email Address","E-Mail-Adresse"
"Search Order","Bestellung suchen"
"Order Date","Bestelldatum"
"Order Status","Bestellstatus"
"Order Total","Bestellsumme"
"Items Ordered","Bestellte Artikel"
"Product Name","Produktname"
"SKU","Artikelnummer"
"Qty","Menge"
"Price","Preis"
"Subtotal","Zwischensumme"
"Withdrawal deadline:","Widerrufsfrist bis:"
"By submitting the withdrawal, you declare that you wish to revoke the purchase contract for this order.","Mit dem Absenden des Widerrufs erklaeren Sie, dass Sie den Kaufvertrag fuer diese Bestellung widerrufen moechten."
"A withdrawal request has already been submitted for this order.","Fuer diese Bestellung wurde bereits ein Widerruf eingereicht."
"The withdrawal period for this order has expired. The deadline was: %1","Die Widerrufsfrist fuer diese Bestellung ist abgelaufen. Die Frist war: %1"
"Back","Zurueck"
"Confirm Withdrawal","Widerruf bestaetigen"
"Are you sure you want to submit the withdrawal for this order? This action cannot be undone.","Sind Sie sicher, dass Sie den Widerruf fuer diese Bestellung einreichen moechten? Diese Aktion kann nicht rueckgaengig gemacht werden."
"Cancel","Abbrechen"
"Yes, Submit Withdrawal","Ja, Widerruf absenden"
"The order could not be found.","Die Bestellung konnte nicht gefunden werden."
"Invalid form key. Please try again.","Ungueltiger Formular-Schluessel. Bitte versuchen Sie es erneut."
"The withdrawal function is currently not available.","Die Widerrufsfunktion ist derzeit nicht verfuegbar."
"No order specified.","Keine Bestellung angegeben."
"Please log in to submit a withdrawal.","Bitte melden Sie sich an, um einen Widerruf einzureichen."
"You are not authorized to withdraw this order.","Sie sind nicht berechtigt, diese Bestellung zu widerrufen."
"You are not authorized to view this order.","Sie sind nicht berechtigt, diese Bestellung anzuzeigen."
"The provided email does not match the order.","Die angegebene E-Mail-Adresse stimmt nicht mit der Bestellung ueberein."
"A withdrawal request already exists for this order.","Fuer diese Bestellung existiert bereits ein Widerruf."
"The withdrawal period for this order has expired.","Die Widerrufsfrist fuer diese Bestellung ist abgelaufen."
"Your withdrawal request was submitted.","Ihr Widerruf wurde eingereicht."
"Unable to submit withdrawal request. Please try again.","Der Widerruf konnte nicht eingereicht werden. Bitte versuchen Sie es erneut."
"Withdrawal requested by customer on %1.","Widerruf durch Kunde angefordert am %1."
"Please enter both order number and email address.","Bitte geben Sie sowohl die Bestellnummer als auch die E-Mail-Adresse ein."
"No order found with the given order number and email address.","Keine Bestellung mit der angegebenen Bestellnummer und E-Mail-Adresse gefunden."
"Invalid request.","Ungueltige Anfrage."
"Order #","Bestell-Nr."
"Customer Name","Kundenname"
"Customer Email","Kunden-E-Mail"
"Status","Status"
"Pending","Ausstehend"
"Confirmed","Bestaetigt"
"Rejected","Abgelehnt"
"Order Placed At","Bestellung aufgegeben am"
"Withdrawal Requested At","Widerruf angefordert am"
"Comment","Kommentar"
"View Order","Bestellung ansehen"
"ID","ID"
"e.g. 000000001","z.B. 000000001"
"your@email.com","ihre@email.de"
"Enable or disable the withdrawal button functionality.","Aktivieren oder deaktivieren Sie die Widerrufsbutton-Funktionalitaet."
"Email address to receive withdrawal notifications. If empty, the general store email will be used.","E-Mail-Adresse fuer Widerrufs-Benachrichtigungen. Wenn leer, wird die allgemeine Shop-E-Mail verwendet."
"Number of days after order placement during which withdrawal is allowed. Default: 14 days.","Anzahl der Tage nach Bestelleingang, in denen der Widerruf moeglich ist. Standard: 14 Tage."
"Email template sent to the customer after withdrawal request.","E-Mail-Vorlage, die nach dem Widerruf an den Kunden gesendet wird."
"Email template sent to the shop owner after withdrawal request.","E-Mail-Vorlage, die nach dem Widerruf an den Shopbetreiber gesendet wird."
"Withdrawal Confirmation for Order #%order_increment_id","Widerrufsbestaetigung fuer Bestellung #%order_increment_id"
"New Withdrawal Request for Order #%order_increment_id","Neuer Widerruf fuer Bestellung #%order_increment_id"
"Dear %customer_name,","Sehr geehrte/r %customer_name,"
"We have received your withdrawal request for Order #%order_increment_id.","Wir haben Ihren Widerruf fuer die Bestellung #%order_increment_id erhalten."
"Your withdrawal request has been registered successfully.","Ihr Widerruf wurde erfolgreich registriert."
"Order Number:","Bestellnummer:"
"Order Date:","Bestelldatum:"
"Withdrawal Requested:","Widerruf angefordert:"
"The shop will process your withdrawal request and contact you regarding the next steps (e.g. return of goods, refund).","Der Shop wird Ihren Widerruf bearbeiten und Sie bezueglich der naechsten Schritte kontaktieren (z.B. Ruecksendung, Rueckerstattung)."
